2-1-1;1-46-8
2-1-2;2-6-14
2-1-2;2-6-15
2-1-2;2-2-1
2-1-2;2-6-16
2-1-2;13-2-3
2-1-2;58-7-14
2-1-3;1-46-13
2-1-3;1-46-14
2-1-3;1-46-21
2-1-4;1-46-23
2-1-4;13-7-13
2-1-4;1-46-16
2-1-4;13-7-30
2-1-5;1-46-26
2-1-5;5-10-22
2-1-5;44-7-14
2-1-6;1-50-26
2-1-7;1-46-3
2-1-7;5-26-5
2-1-7;44-7-17
2-1-8;44-7-18
2-1-9;4-22-3
2-1-9;19-105-24
2-1-10;19-105-25
2-1-10;20-21-30
2-1-10;44-7-19
2-1-10;46-3-19
2-1-11;1-15-13
2-1-11;2-3-7
2-1-11;4-20-15
2-1-11;5-26-6
2-1-11;44-7-34
2-1-11;1-47-11
2-1-12;19-105-24
2-1-12;19-105-38
2-1-13;2-2-23
2-1-13;20-14-31
2-1-13;44-7-6
2-1-14;34-3-14
2-1-15;1-35-17
2-1-15;1-38-28
2-1-15;26-16-4
2-1-17;16-5-15
2-1-17;20-8-13
2-1-17;27-3-16
2-1-17;27-6-13
2-1-17;40-10-28
2-1-17;44-5-29
2-1-17;1-9-6
2-1-20;19-41-2
2-1-20;20-11-18
2-1-20;20-19-17
2-1-20;21-8-12
2-1-20;23-3-10
2-1-20;42-1-50
2-1-20;58-6-10
2-1-21;19-107-41
2-1-21;19-127-3
2-2-1;2-6-20
2-2-1;4-26-59
2-2-2;12-11-2
2-2-2;44-7-20
2-2-2;58-11-23
2-2-3;44-7-19
2-2-3;1-6-14
2-2-3;1-14-10
2-2-3;18-8-11
2-2-4;2-15-20
2-2-4;13-6-3
2-2-4;33-6-4
2-2-5;44-7-21
2-2-6;11-8-50
2-2-6;19-106-46
2-2-6;60-3-8
2-2-8;2-6-20
2-2-9;54-5-18
2-2-10;58-11-24
2-2-10;44-7-21
2-2-11;2-1-11
2-2-11;2-3-7
2-2-11;44-7-23
2-2-11;2-5-14
2-2-12;44-7-24
2-2-12;58-11-24
2-2-13;1-13-8
2-2-13;44-7-26
2-2-15;2-4-19
2-2-15;20-22-3
2-2-15;58-11-27
2-2-15;1-25-2
2-2-15;2-3-1
2-2-16;2-18-12
2-2-16;1-24-20
2-2-17;1-29-10
2-2-18;2-4-18
2-2-18;2-18-1
2-2-18;4-10-29
2-2-19;44-7-22
2-2-21;2-18-2
2-2-21;4-12-1
2-2-22;2-18-3
2-2-22;13-23-15
2-2-22;44-7-29
2-2-23;2-4-19
2-2-23;2-7-7
2-2-23;44-7-30
2-2-23;2-6-5
2-2-23;4-20-16
2-2-23;5-26-7
2-2-23;19-12-5
2-2-23;2-3-7
2-2-23;11-8-51
2-2-23;16-9-9
2-2-23;19-107-19
2-2-24;7-2-18
2-2-24;16-9-27
2-2-24;60-5-7
2-2-24;44-7-34
2-2-24;1-15-14
2-2-24;12-13-23
2-2-24;19-105-8
2-3-1;2-2-16
2-3-1;2-18-1
2-3-1;7-1-16
2-3-1;7-4-11
2-3-1;2-24-13
2-3-1;2-17-6
2-3-1;11-19-8
2-3-1;39-4-4
2-3-2;5-33-16
2-3-2;44-7-30
2-3-3;1-18-14
2-3-3;27-3-27
2-3-3;44-7-31
2-3-4;9-3-4
2-3-5;6-5-15
2-3-5;44-7-33
2-3-6;1-26-24
2-3-6;1-32-9
2-3-6;40-22-32
2-3-6;44-7-32
2-3-7;2-1-11
2-3-7;2-6-5
2-3-7;19-106-44
2-3-7;23-63-9
2-3-7;44-7-34
2-3-8;2-12-51
2-3-8;4-13-27
2-3-8;5-27-3
2-3-8;1-10-16
2-3-8;2-33-2
2-3-8;5-7-1
2-3-8;6-3-10
2-3-8;16-9-8
2-3-10;9-12-6
2-3-10;19-105-26
2-3-10;23-63-11
2-3-10;44-7-34
2-3-11;2-6-12
2-3-11;10-7-18
2-3-11;24-1-6
2-3-12;5-31-23
2-3-12;6-1-5
2-3-12;23-41-10
2-3-12;45-8-31
2-3-12;50-4-13
2-3-12;7-6-17
2-3-18;2-4-31
2-3-18;2-20-19
2-3-20;19-118-15
2-4-1;2-2-14
2-4-1;44-7-25
2-4-3;2-7-9
2-4-5;9-2-27
2-4-5;44-7-32
2-4-5;44-7-2
2-4-5;45-4-3
2-4-5;1-28-13
2-4-5;41-12-26
2-4-5;1-28-21
2-4-5;42-20-37
2-4-5;2-3-16
2-4-5;2-4-31
2-4-5;24-31-3
2-4-6;4-12-10
2-4-6;12-5-27
2-4-7;12-5-14
2-4-7;40-8-3
