61-1-1;56-1-1
61-1-1;60-1-1
61-1-1;44-15-7
61-1-1;48-3-28
61-1-1;45-1-17
61-1-1;56-2-13
61-1-3;43-17-3
61-1-3;54-3-16
61-1-3;55-1-9
61-1-3;60-2-9
61-1-3;47-4-6
61-1-3;53-2-14
61-1-4;42-22-30
61-1-4;43-14-2
61-1-4;48-3-29
61-1-9;62-2-9
61-1-9;66-3-17
61-1-9;59-1-25
61-1-9;58-9-14
61-1-9;62-1-7
61-1-12;45-15-15
61-1-13;47-5-1
61-1-14;55-4-6
61-1-14;43-21-18
61-1-15;42-9-31
61-1-16;54-1-4
61-1-17;27-7-14
61-1-17;19-2-7
61-1-17;40-17-5
61-1-17;41-9-7
61-1-17;42-9-35
61-1-18;40-17-6
61-1-18;40-17-1
61-1-18;42-9-28
61-1-19;5-18-15
61-1-19;27-7-14
61-1-19;39-4-5
61-1-19;40-17-3
61-1-21;55-3-16
61-1-21;26-2-2
61-1-21;42-1-70
61-1-21;10-23-2
61-1-21;44-1-16
61-1-21;44-28-25
61-1-21;60-1-11
61-2-2;46-15-33
61-2-2;48-5-7
61-2-2;47-12-21
61-2-2;65-1-4
61-2-2;23-52-5
61-2-4;1-6-4
61-2-5;1-7-23
61-2-5;1-6-9
61-2-5;58-11-7
61-2-5;1-8-18
61-2-5;61-3-6
61-2-6;1-19-24
61-2-6;65-1-7
61-2-7;1-19-16
61-2-7;1-19-7
61-2-9;19-34-19
61-2-9;46-10-13
61-2-9;55-4-18
61-2-9;66-3-10
61-2-9;45-2-5
61-2-9;61-3-7
61-2-10;23-56-11
61-2-10;45-1-26
61-2-10;65-1-7
61-2-10;2-22-28
61-2-11;65-1-9
61-2-11;38-3-2
61-2-12;20-19-29
61-2-12;65-1-10
61-2-13;45-1-28
61-2-13;50-3-19
61-2-14;20-6-25
61-2-14;40-5-28
61-2-14;41-7-21
61-2-14;45-1-27
61-2-14;45-1-24
61-2-14;62-3-10
61-2-15;4-22-5
61-2-15;65-1-11
61-2-15;66-2-14
61-2-15;4-22-7
61-2-15;4-22-21
61-2-15;5-23-5
61-2-15;16-13-2
61-2-16;4-22-34
61-2-16;4-22-28
61-2-16;4-22-31
61-2-16;4-31-8
61-2-17;65-1-12
61-2-17;65-1-13
61-2-18;45-1-26
61-2-18;65-1-16
61-2-18;61-2-14
61-2-18;44-2-40
61-2-19;60-2-16
61-2-19;43-8-34
61-2-19;45-6-16
61-2-20;61-1-4
61-2-20;58-6-4
61-2-20;40-12-45
61-2-20;42-11-26
61-2-20;58-10-26
61-2-21;42-12-47
61-2-21;40-12-32
61-2-21;43-9-41
61-2-21;58-6-6
61-2-22;40-7-6
61-2-22;20-26-11
61-3-4;23-5-19
61-3-4;24-17-15
61-3-4;26-12-22
61-3-4;40-24-48
61-3-4;42-12-45
61-3-4;26-12-27
61-3-5;1-1-1
61-3-5;1-1-9
61-3-5;1-1-6
61-3-5;18-38-9
61-3-6;1-7-11
61-3-6;1-7-23
61-3-6;23-54-9
61-3-6;40-24-39
61-3-7;37-2-21
61-3-7;66-12-9
61-3-7;1-18-25
61-3-7;19-96-13
61-3-7;66-12-16
61-3-7;53-1-8
61-3-7;23-66-16
61-3-7;5-7-10
61-3-7;23-26-21
61-3-9;23-30-18
61-3-9;58-2-3
61-3-10;29-2-31
61-3-10;36-1-14
61-3-10;52-5-2
61-3-10;66-21-1
61-3-10;66-6-14
61-3-10;49-2-2
61-3-10;51-2-8
61-3-10;23-13-13
61-3-10;40-24-35
61-3-10;19-37-10
61-3-10;23-13-9
61-3-10;36-1-18
61-3-12;39-4-2
61-3-12;36-1-14
61-3-12;23-34-4
61-3-12;39-4-1
61-3-13;23-65-17
61-3-13;66-21-1
61-3-13;23-66-22
61-3-13;23-11-5
61-3-13;40-6-33
61-3-13;58-12-11
61-3-13;59-3-18
61-3-15;46-3-10
61-3-16;42-24-44
61-3-16;55-3-16
61-3-18;49-4-15
61-3-18;50-3-8
61-3-18;55-4-18
